"13","1.00","0","77.0399","28.4680","anamikaenclave,anamika enclave",\N,\N,"anamika enclave","1.00,1185.00,825.00","","28.471098","77.043999","28.463882","77.034447","28.467966","77.039894","28.471098","77.043999","28.463882","77.034447","APPROXIMATE","Long name : Anamika Enclave, Types : sublocality_level_2,sublocality,political, Short name : Anamika Enclave","Long name : Anamika Enclave, Types : sublocality_level_2,sublocality,political, Short name : Anamika Enclave","Long name : Anamika Enclave, Types : sublocality_level_2,sublocality,political, Short name : Anamika Enclave","Long name : Anamika Enclave, Types : sublocality_level_2,sublocality,political, Short name : Anamika Enclave","Long name : Anamika Enclave, Types : sublocality_level_2,sublocality,political, Short name : Anamika Enclave","Long name : Anamika Enclave, Types : sublocality_level_2,sublocality,political, Short name : Anamika Enclave","Long name : Anamika Enclave, Types : sublocality_level_2,sublocality,political, Short name : Anamika Enclave",\N,\N,\N,"ChIJA8-6oEwYDTkRIR6SgmzfBas","Anamika Enclave, Sector 14, Gurgaon, Haryana 122001, India","postal_code"
"14","1.00","1","77.0134","28.4850","apnaenclave,apna enclave",\N,\N,"apna enclave","1185.00,843.00,1.00,1223.00","","28.485556","77.013931","28.483976","77.012901","28.484766","77.013420","28.486115","77.014771","28.483418","77.012070","APPROXIMATE","Long name : Apna Enclave, Types : , Short name : Apna Enclave","Long name : Apna Enclave, Types : , Short name : Apna Enclave","Long name : Apna Enclave, Types : , Short name : Apna Enclave","Long name : Apna Enclave, Types : , Short name : Apna Enclave","Long name : Apna Enclave, Types : , Short name : Apna Enclave","Long name : Apna Enclave, Types : , Short name : Apna Enclave","Long name : Apna Enclave, Types : , Short name : Apna Enclave","Long name : Apna Enclave, Types : , Short name : Apna Enclave",\N,\N,"ChIJhw7W394ZDTkRHGjWzjHGZKA","Apna Enclave, Ashok Vihar, Sector 3, Gurgaon, Delhi 122006, India","postal_code"
"15","1.00","0","77.0784","28.4419","ardee pvt ltd ardeecity,ardeecity,ansal ardee city,ardee city floor,ansal ardeecity,ansalardeecity,ardee city,ansalardee city,ardee pvt ltd ardee city",\N,\N,"ardee city","1.00,1223.00,1185.00,15.00,849.00,468.00","","28.447281","77.083183","28.435123","77.073944","28.441917","77.078415","28.447281","77.083183","28.435123","77.073944","APPROXIMATE","Long name : Ardee City, Types : sublocality_level_2,sublocality,political, Short name : Ardee City","Long name : Ardee City, Types : sublocality_level_2,sublocality,political, Short name : Ardee City","Long name : Ardee City, Types : sublocality_level_2,sublocality,political, Short name : Ardee City","Long name : Ardee City, Types : sublocality_level_2,sublocality,political, Short name : Ardee City","Long name : Ardee City, Types : sublocality_level_2,sublocality,political, Short name : Ardee City","Long name : Ardee City, Types : sublocality_level_2,sublocality,political, Short name : Ardee City","Long name : Ardee City, Types : sublocality_level_2,sublocality,political, Short name : Ardee City",\N,\N,\N,"ChIJWctlA5YYDTkRt4ZvZJZyhaA","Ardee City, Sector 52, Gurgaon, Haryana 122003, India","postal_code"
"16","1.00","0","77.1023","28.4661","arjunmargdlfcityph1,arjunmarg,arjun marg dlf city ph i,arjun marg dlf city phasei,arjunmargdlfcityphi,arjun marg,arjun marg dlf city ph 1,arjun marg dlf city phase i,arjunmargdlfcityphasei,arjun marg dlf city ph1,arjun marg dlf city phi,arjunmargdlfcityph 1,arjun marg dlf city phase 1,arjunmargdlfcityphase1,arjun marg dlf city phase1,arjunmargdlfcityphase 1",\N,\N,"arjun marg dlf city phase i","1185.00,74.00,1223.00,1.00,1119.00","","28.467213","77.105263","28.463808","77.094818","28.466360","77.100319","28.467213","77.105263","28.463808","77.094818","GEOMETRIC_CENTER","Long name : Arjun Marg, Types : route, Short name : Arjun Marg","Long name : Arjun Marg, Types : route, Short name : Arjun Marg","Long name : Arjun Marg, Types : route, Short name : Arjun Marg","Long name : Arjun Marg, Types : route, Short name : Arjun Marg","Long name : Arjun Marg, Types : route, Short name : Arjun Marg","Long name : Arjun Marg, Types : route, Short name : Arjun Marg","Long name : Arjun Marg, Types : route, Short name : Arjun Marg","Long name : Arjun Marg, Types : route, Short name : Arjun Marg",\N,\N,"ChIJDYJSBNMYDTkRSj9FL61vfKg","Arjun Marg, DLF Phase 1, Sector 26A, Gurgaon, Haryana 122002, India","postal_code"
"17","1.00","0","77.0197","28.4588","arjun nagar,arjunnagar",\N,\N,"arjun nagar","1.00,1185.00,855.00","","28.462488","77.022881","28.457043","77.016090","28.458851","77.019745","28.462488","77.022881","28.457043","77.016090","APPROXIMATE","Long name : Arjun Nagar, Types : sublocality_level_2,sublocality,political, Short name : Arjun Nagar","Long name : Arjun Nagar, Types : sublocality_level_2,sublocality,political, Short name : Arjun Nagar","Long name : Arjun Nagar, Types : sublocality_level_2,sublocality,political, Short name : Arjun Nagar","Long name : Arjun Nagar, Types : sublocality_level_2,sublocality,political, Short name : Arjun Nagar","Long name : Arjun Nagar, Types : sublocality_level_2,sublocality,political, Short name : Arjun Nagar","Long name : Arjun Nagar, Types : sublocality_level_2,sublocality,political, Short name : Arjun Nagar","Long name : Arjun Nagar, Types : sublocality_level_2,sublocality,political, Short name : Arjun Nagar",\N,\N,\N,"ChIJgRHeYS4YDTkRNur9-CQrX8k","Arjun Nagar, Sector 8, Gurgaon, Haryana 122001, India","postal_code"
"18","1.00","1","77.0226","28.4720","ashokpuri,ashok puri",\N,\N,"ashok puri","1.00,1185.00","","28.474419","77.025070","28.470156","77.019844","28.472036","77.022621","28.474419","77.025070","28.470156","77.019844","APPROXIMATE","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri","Long name : Ashok Puri, Types : sublocality_level_3,sublocality,political, Short name : Ashok Puri",\N,\N,"ChIJpzcL-80ZDTkRFebgRYm1jVU","Ashok Puri, Dayanand Colony, Sector 6, Gurgaon, Haryana 122001, India","postal_code"
"19","1.00","0","77.0147","28.4878","ashok vihar,ashokvihar",\N,\N,"ashok vihar","1.00,842.00,837.00,1185.00","","28.493046","77.019951","28.480753","77.010864","28.488041","77.017586","28.493046","77.019951","28.480753","77.010864","APPROXIMATE","Long name : Ashok Vihar, Types : sublocality_level_2,sublocality,political, Short name : Ashok Vihar","Long name : Ashok Vihar, Types : sublocality_level_2,sublocality,political, Short name : Ashok Vihar","Long name : Ashok Vihar, Types : sublocality_level_2,sublocality,political, Short name : Ashok Vihar","Long name : Ashok Vihar, Types : sublocality_level_2,sublocality,political, Short name : Ashok Vihar","Long name : Ashok Vihar, Types : sublocality_level_2,sublocality,political, Short name : Ashok Vihar","Long name : Ashok Vihar, Types : sublocality_level_2,sublocality,political, Short name : Ashok Vihar",\N,\N,\N,\N,"ChIJoQLxXt4ZDTkR3sqVMpxN9PE","Ashok Vihar, Sector 3, Gurgaon, Haryana, India","country,political"
"20","1353.00,1.00","0","77.3030","28.5017","badarpur",\N,\N,"badarpur","1185.00,1353.00,1.00,1353.00","","28.523500","77.196404","28.522249","77.190048","28.522722","77.193085","28.524223","77.196404","28.521526","77.190048","GEOMETRIC_CENTER","Long name : Mehrauli - Badarpur Road, Types : route, Short name : Mehrauli - Badarpur Rd","Long name : Mehrauli - Badarpur Road, Types : route, Short name : Mehrauli - Badarpur Rd","Long name : Mehrauli - Badarpur Road, Types : route, Short name : Mehrauli - Badarpur Rd","Long name : Mehrauli - Badarpur Road, Types : route, Short name : Mehrauli - Badarpur Rd",\N,\N,\N,\N,\N,\N,"ChIJ1esLVAvhDDkRYWCbHULuL_k","Mehrauli - Badarpur Road, New Delhi, India","country,political"
"21","1.00","1","77.0852","27.8005","baded",\N,\N,"baded","1.00,1185.00","","28.545877","77.122643","28.303795","76.856918","28.459497","77.026634","28.545877","77.122643","28.303795","76.856918","APPROXIMATE","Long name : Gurgaon, Types : locality,political, Short name : Gurgaon","Long name : Gurgaon, Types : locality,political, Short name : Gurgaon","Long name : Gurgaon, Types : locality,political, Short name : Gurgaon","Long name : Gurgaon, Types : locality,political, Short name : Gurgaon",\N,\N,\N,\N,\N,\N,"ChIJWYjjgtUZDTkRHkvG5ehfzwI","Gurgaon, Haryana, India","country,political"
"22","1.00","1","76.8078","28.5679","badli",\N,\N,"badli","1.00,1185.00","","28.587385","76.819672","28.560099","76.795464","28.571938","76.809959","28.587385","76.819672","28.560099","76.795464","APPROXIMATE","Long name : Badli, Types : locality,political, Short name : Badli","Long name : Badli, Types : locality,political, Short name : Badli","Long name : Badli, Types : locality,political, Short name : Badli","Long name : Badli, Types : locality,political, Short name : Badli","Long name : Badli, Types : locality,political, Short name : Badli",\N,\N,\N,\N,\N,"ChIJJVjJkkNtDTkR5TWQ-IbM7Qs","Badli, Haryana 124105, India","postal_code"
