"100005","Gurgaon","rent","Commercial","Commercial Office/Space","Spaze I Tech Park","518","0","Sector-49 Gurgaon","971.000","Sq. Ft.","45000.000","INR","0.000000",\N,\N,"0","971.000","45000.000",\N,\N,\N,\N,\N,"Office Space for rent in Spaze I Tech Park Sector-49 Gurgaon - 971 Sq. Ft.","971 Sq. Ft. - Rent / Lease Commercial office space in Spaze I Tech Park, Sector-49 Gurgaon * 31 Property & locality photos. Fully furnished office space available for lease in spaze itech park, Sector 49, Sohna road.  #fully furnished unit. #971s...",\N,\N,\N,"28.41294600000000000000","77.04389700000000000000","X27421023","57","14","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-spaze-i-tech-park-sector-49-gurgaon-971-sq-ft-spid-X27421023",\N,"21-12-2016","Dealer",\N,"Dipi Sharma","Prop Magnet","852, Tower B2, Spaze IT Park,, Sohna Road, Gurgaon, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  Spaze I Tech Park, Sector-49 Gurgaon, Gurgaon, 971 Sq. Ft. @ 45000 INR",\N,"1482337214","1","971.0000","46.3440",\N,"office"
"100006","Gurgaon","rent","Commercial","Commercial Office/Space","JMD IT Megapolis","39941",\N,"Sector-48 Gurgaon","947.000","Sq.Ft.","49244.000","INR","0.000000",\N,\N,"0","947.000","49244.000","947.000",\N,\N,\N,\N,"Office Space for rent in JMD IT Megapolis Sector-48 Gurgaon - 947 Sq. Ft.","947 Sq. Ft. - Rent / Lease Commercial office space in JMD IT Megapolis, Sector-48 Gurgaon * 33 Property & locality photos. Ready to move office space   Fully furnished 14 work station  1 cabin 1 c  room 6 seater     Reception pantry",\N,\N,\N,"28.41965500000000000000","77.03818300000000000000","R26615852","355","17","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-jmd-it-megapolis-sector-48-gurgaon-947-sq-ft-spid-R26615852",\N,"21-12-2016","Dealer",\N,"Sushant Kumar","Shrisay Realty","#521 A Jmd Megapolis  Sector-48, Sohna Road, Gurga, on Sohna Road Gurgaon, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  JMD IT Megapolis, Sector-48 Gurgaon, Gurgaon, 947  Sq.Ft. @ 49244 INR",\N,"1482337215","1","947.0000","52.0000",\N,"office"
"100007","Gurgaon","rent","Commercial","Commercial Office/Space","Emaar The Palm Square","39951","0","Sector-66 Gurgaon","1200.000","Sq. Ft.","102000.000","INR","0.000000",\N,\N,"0","1200.000","102000.000",\N,\N,\N,\N,\N,"Office Space for rent in Emaar The Palm Square Sector-66 Gurgaon - 1200 Sq. Ft.","1200 Sq. Ft. - Rent / Lease Commercial office space in Emaar The Palm Square, Sector-66 Gurgaon * 22 Property & locality photos. Project overview  An integrated corporate office cum retail complex spread across approximately 3.5 acres, The palm square...",\N,\N,\N,"28.40200200000000000000","77.05041900000000000000","M27172799","253","4","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-emaar-the-palm-square-sector-66-gurgaon-1200-sq-ft-spid-M27172799",\N,"21-12-2016","Dealer",\N,"Team Propchamps","PropChamps.Com","12a, 10th Floor, Emaar The Palm Square, Golf Cours, e Extn. Road, Sector-66, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  Emaar The Palm Square, Sector-66 Gurgaon, Gurgaon, 1200 Sq. Ft. @ 102000 INR",\N,"1482337215","1","1200.0000","85.0000",\N,"office"
"100008","Gurgaon","rent","Commercial","Commercial Office/Space","JMD IT Megapolis","39941",\N,"Sector-48 Gurgaon","940.000","Sq. Ft.","45000.000","INR","0.000000",\N,\N,"0","940.000","45000.000",\N,\N,\N,\N,\N,"Office Space for rent in JMD IT Megapolis Sector-48 Gurgaon - 940 Sq. Ft.","940 Sq. Ft. - Rent / Lease Commercial office space in JMD IT Megapolis, Sector-48 Gurgaon * 34 Property & locality photos. Available for lease fully furnished office in jmd megapolis . Brand new furnishing . 12 work station and 2 cabins , Recept...",\N,\N,\N,"28.41965500000000000000","77.03818300000000000000","I27360239","61","2","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-jmd-it-megapolis-sector-48-gurgaon-940-sq-ft-spid-I27360239",\N,"21-12-2016","Dealer",\N,"Rahul Arora","Winworld Realty Services","Office No. 804-A, Unitech Arcadia, Sector-49, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  JMD IT Megapolis, Sector-48 Gurgaon, Gurgaon, 940 Sq. Ft. @ 45000 INR",\N,"1482337215","1","940.0000","47.8723",\N,"office"
"100009","Gurgaon","rent","Commercial","Commercial Office/Space","JMD IT Megapolis","39941",\N,"Sector-48 Gurgaon","1014.000","Sq. Ft.","46600.000","INR","0.000000",\N,\N,"0","1014.000","46600.000",\N,\N,\N,\N,\N,"Office Space for rent in JMD IT Megapolis Sector-48 Gurgaon - 1014 Sq. Ft.","1014 Sq. Ft. - Rent / Lease Commercial office space in JMD IT Megapolis, Sector-48 Gurgaon * 31 Property & locality photos. Jmd megapolis is an ultra-Futuristic office complex situated in gurgaon. Perfect conditions for a successful business futu...",\N,\N,\N,"28.41965500000000000000","77.03818300000000000000","D26110165","181","10","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-jmd-it-megapolis-sector-48-gurgaon-1014-sq-ft-spid-D26110165",\N,"21-12-2016","Dealer",\N,"Ajay","Setrite Realtors","1121, JMD Megapolish,11th Floor,Sohna Road, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  JMD IT Megapolis, Sector-48 Gurgaon, Gurgaon, 1014 Sq. Ft. @ 46600 INR",\N,"1482337215","1","1014.0000","45.9566",\N,"office"
"10001","Gurgaon","sale","Residential","Residential Land","DLF City Plots Phase 3","-1","-1","DLF CITY PHASE 3","2835.000","Sq.Ft.","30000000.000","INR","95239.000000","Sq.","Resale",\N,"315.000","30000000.000",\N,\N,\N,\N,\N,"Residential land / Plot for sale in DLF City Plots Phase 3 DLF CITY PHASE 3 Gurgaon - 315 Sq. Yard.","315 Sq. Yard. - Buy Residential land / Plot in DLF City Plots Phase 3, DLF CITY PHASE 3, Gurgaon * 9 Property & locality photos * Resale property * Possession: Immediate * Ownership: Freehold. View contact number for free. Click for complete details on 99acres.com","DLF City Plots Phase 3, DLF CITY PHASE 3, Gurgaon, Haryana","76,1",\N,"28.49332300000000000000","77.10396200000000000000","E27542351",\N,\N,"99acres.com","scraphrpan","http://www.99acres.com/residential-land-plot-for-sale-in-dlf-city-plots-phase-3-dlf-city-phase-3-gurgaon-315-sq-yard-spid-E27542351","06-10-2016","26-10-2016","Dealer",\N,"Real Estate Experts","Realty Group",\N,"East",\N,\N,\N,\N,"Ready to Move",\N,\N,"3 Floors",\N,"Immediate",\N,\N,\N,\N,\N,"Available for Buy in  DLF City Plots Phase 3, DLF CITY PHASE 3, Gurgaon, 2835 Sq.Ft. @ 30000000 INR",\N,"1477485780","1","2835.0000","10582.0107",\N,"plot"
"100010","Gurgaon","rent","Commercial","Commercial Office/Space","Unitech Arcadia","523",\N,"Sector-49 Gurgaon","750.000","Sq. Ft.","26000.000","INR","0.000000",\N,\N,"0","750.000","26000.000",\N,\N,\N,\N,\N,"Office Space for rent in Unitech Arcadia Sector-49 Gurgaon - 750 Sq. Ft.","750 Sq. Ft. - Rent / Lease Commercial office space in Unitech Arcadia, Sector-49 Gurgaon * 15 Property & locality photos. Fully furnished office space available at low price in unitech arcadia south city 2. Space includes 13work stations,  Cabi...",\N,\N,\N,"28.41817100000000000000","77.05248000000000000000","K25243140","313","45","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-unitech-arcadia-sector-49-gurgaon-750-sq-ft-r1-spid-K25243140",\N,"21-12-2016","Dealer",\N,"Vijay Singh","Corporent Services","Gurgaon, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  Unitech Arcadia, Sector-49 Gurgaon, Gurgaon, 750 Sq. Ft. @ 26000 INR",\N,"1482337215","1","750.0000","34.6667",\N,"office"
"100011","Gurgaon","rent","Commercial","Commercial Office/Space","JMD IT Megapolis","39941",\N,"Sector-48 Gurgaon","800.000","Sq.Ft.","40000.000","INR","0.000000",\N,\N,"0","800.000","40000.000","800.000",\N,\N,\N,\N,"Office Space for rent in JMD IT Megapolis Sector-48 Gurgaon - 800 Sq. Ft.","800 Sq. Ft. - Rent / Lease Commercial office space in JMD IT Megapolis, Sector-48 Gurgaon * 30 Property & locality photos. Ready to move office space for rent   Sohna road gurgaon park faching   Fully furnished 8 wprk station   2 cabin 1 c  room...",\N,\N,\N,"28.41965500000000000000","77.03818300000000000000","W26693021","84","11","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-jmd-it-megapolis-sector-48-gurgaon-800-sq-ft-spid-W26693021",\N,"21-12-2016","Dealer",\N,"Sushant Kumar","Shrisay Realty","#521 A Jmd Megapolis  Sector-48, Sohna Road, Gurga, on Sohna Road Gurgaon, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  JMD IT Megapolis, Sector-48 Gurgaon, Gurgaon, 800  Sq.Ft. @ 40000 INR",\N,"1482337216","1","800.0000","50.0000",\N,"office"
"100012","Gurgaon","rent","Commercial","Commercial Office/Space","Unitech Arcadia","523",\N,"Sector-49 Gurgaon","900.000","Sq. Ft.","23400.000","INR","0.000000",\N,\N,"0","900.000","23400.000",\N,\N,\N,\N,\N,"Office Space for rent in Unitech Arcadia Sector-49 Gurgaon - 900 Sq. Ft.","900 Sq. Ft. - Rent / Lease Commercial office space in Unitech Arcadia, Sector-49 Gurgaon * 12 Property & locality photos. Semi furnished office space available at low price in unitech arcadia ggn. Space includes floor tilling and 2 split ac wit...",\N,\N,\N,"28.41817100000000000000","77.05248000000000000000","V25412167","1080","39","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-unitech-arcadia-sector-49-gurgaon-900-sq-ft-r1-spid-V25412167",\N,"21-12-2016","Dealer",\N,"Ravinder Dahiya","Corporent Services","Gurgaon, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  Unitech Arcadia, Sector-49 Gurgaon, Gurgaon, 900 Sq. Ft. @ 23400 INR",\N,"1482337216","1","900.0000","26.0000",\N,"office"
"100013","Gurgaon","rent","Commercial","Commercial Office/Space",\N,\N,\N,"South City 2","1715.000","Sq. Ft.","39400.000","INR","0.000000",\N,\N,"0","1715.000","39400.000",\N,\N,\N,\N,\N,"Office Space for rent in South City 2 Gurgaon - 1715 Sq. Ft.","1715 Sq. Ft. - Rent / Lease Commercial office space in South City 2, Gurgaon * 6 Property & locality photos. Fitted with 2 split ac Ready to move Security to maintenance personal  Low maintenance charge  100% power backup connectiv...",\N,\N,\N,"-34.16181840000000000000","58.98068160000000000000","U23335000","734","50","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-south-city-2-gurgaon-1715-sq-ft-spid-U23335000",\N,"21-12-2016","Dealer",\N,"Narendra Yadav","Sai Kavya Real Estate","South City 2, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  , South City 2, Gurgaon, 1715 Sq. Ft. @ 39400 INR",\N,"1482337216","1","1715.0000","22.9738",\N,"office"
"100014","Gurgaon","rent","Commercial","Commercial Office/Space","Spaze I Tech Park","518","0","Sector-49 Gurgaon","1700.000","Sq. Ft.","70000.000","INR","0.000000",\N,\N,"0","1700.000","70000.000",\N,\N,\N,\N,\N,"Office Space for rent in Spaze I Tech Park Sector-49 Gurgaon - 1700 Sq. Ft.","1700 Sq. Ft. - Rent / Lease Commercial office space in Spaze I Tech Park, Sector-49 Gurgaon * 31 Property & locality photos. Fully furnished office avilable spaze it park 26 workstation 3 cabin , Conference room ,  Pantry , Server room , Recaption...",\N,\N,\N,"28.41294600000000000000","77.04389700000000000000","F27155295","19","8","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-spaze-i-tech-park-sector-49-gurgaon-1700-sq-ft-spid-F27155295",\N,"21-12-2016","Dealer",\N,"Dheeraj Kumar","GLOBAL LEASING INC.","2nd Floor , Galaxy Tower, Near Vtc Sector-48 ,Sohna Road ,Gurgaon, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  Spaze I Tech Park, Sector-49 Gurgaon, Gurgaon, 1700 Sq. Ft. @ 70000 INR",\N,"1482337217","1","1700.0000","41.1765",\N,"office"
"100015","Gurgaon","rent","Commercial","Commercial Office/Space","Spaze I Tech Park","518","0","Sector-49 Gurgaon","1500.000","Sq. Ft.","60000.000","INR","0.000000",\N,\N,"0","1500.000","60000.000",\N,\N,\N,\N,\N,"Office Space for rent in Spaze I Tech Park Sector-49 Gurgaon - 1500 Sq. Ft.","1500 Sq. Ft. - Rent / Lease Commercial office space in Spaze I Tech Park, Sector-49 Gurgaon * 30 Property & locality photos. Fully furnished office avilable sohna road spaze it park  25 to 40 workstation , 2 cabin , Meeting room , Recaption , Serv...",\N,\N,\N,"28.41294600000000000000","77.04389700000000000000","L27441849","32","5","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-spaze-i-tech-park-sector-49-gurgaon-1500-sq-ft-spid-L27441849",\N,"21-12-2016","Dealer",\N,"Dheeraj Kumar","GLOBAL LEASING INC.","2nd Floor , Galaxy Tower, Near Vtc Sector-48 ,Sohna Road ,Gurgaon, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  Spaze I Tech Park, Sector-49 Gurgaon, Gurgaon, 1500 Sq. Ft. @ 60000 INR",\N,"1482337217","1","1500.0000","40.0000",\N,"office"
"100016","Gurgaon","rent","Commercial","Commercial Office/Space",\N,\N,\N,"Udyog Vihar Phase II","24000.000","Sq. Ft.","940000.000","INR","0.000000","Sq. Meter",\N,"0","1000.000","940000.000",\N,\N,\N,\N,\N,"Office Space for rent in Udyog Vihar Phase II Gurgaon - 24000 Sq. Ft.","24000 Sq. Ft. - Rent / Lease Commercial office space in Udyog Vihar Phase II, Gurgaon * 13 Property & locality photos. Available for rent building in udyog vihar phase 2  Plot size 1000 sqft mtr  Built up includes bmt + 3 floors.  Prime loca...",\N,\N,\N,"28.46030110000000000000","77.02663850000000000000","C27155657","82","3","99acres.com","scraphrpan","http://www.99acres.com/commercial-office-space-for-rent-lease-in-udyog-vihar-phase-2-gurgaon-24000-sq-ft-spid-C27155657",\N,"21-12-2016","Dealer",\N,"Gaurav Wadhera","Wadi Group","Udyog Vihar, Gurgaon",\N,\N,\N,\N,\N,"Ready to Move",\N,\N,\N,\N,\N,\N,\N,\N,\N,\N,"Available for Lease in  , Udyog Vihar Phase II, Gurgaon, 24000 Sq. Ft. @ 940000 INR",\N,"1482337217","1","24000.0000","39.1667",\N,"office"
